DataSize,HashFunction,CollisionRate,AvgChainLength,MaxChainLength
100,Polynomial Rolling Hash,0.2438,0.31,3
100,FNV-1a Hash,0.2388,0.35,4
100,MurmurHash3,0.2836,0.39,4
100,SHA-256 Cryptographic Hash,0.2985,0.44,4
500,Polynomial Rolling Hash,0.2795,0.41,5
500,FNV-1a Hash,0.2703,0.39,5
500,MurmurHash3,0.2795,0.40,5
500,SHA-256 Cryptographic Hash,0.2816,0.40,5
1000,Polynomial Rolling Hash,0.2781,0.40,6
1000,FNV-1a Hash,0.2755,0.39,4
1000,MurmurHash3,0.2836,0.39,5
1000,SHA-256 Cryptographic Hash,0.2801,0.40,5
5000,Polynomial Rolling Hash,0.2481,0.32,7
5000,FNV-1a Hash,0.2482,0.33,5
5000,MurmurHash3,0.2544,0.34,6
5000,SHA-256 Cryptographic Hash,0.2537,0.34,6
10000,Polynomial Rolling Hash,0.2427,0.31,5
10000,FNV-1a Hash,0.2536,0.34,6
10000,MurmurHash3,0.2528,0.34,7
10000,SHA-256 Cryptographic Hash,0.2512,0.33,6
50000,Polynomial Rolling Hash,0.2526,0.33,6
50000,FNV-1a Hash,0.2611,0.35,7
50000,MurmurHash3,0.2616,0.35,7
50000,SHA-256 Cryptographic Hash,0.2615,0.35,7
