LoadFactor,Implementation,HashFunction,AvgInsertTime,AvgFindTime,AvgDeleteTime,AvgProbes,MaxLength
0.10,Chaining,Polynomial Rolling Hash,231.83,109.56,255.14,0.39,3
0.10,Linear Probing,Polynomial Rolling Hash,246.12,75.11,93.07,1.03,4
0.10,Quadratic Probing,Polynomial Rolling Hash,203.53,77.40,65.87,1.03,5
0.10,Chaining,MurmurHash3,289.90,109.13,105.69,0.40,3
0.10,Linear Probing,MurmurHash3,430.65,104.89,94.05,1.04,4
0.10,Quadratic Probing,MurmurHash3,453.37,99.16,109.69,1.05,4
0.20,Chaining,Polynomial Rolling Hash,74.58,77.67,88.30,0.43,4
0.20,Linear Probing,Polynomial Rolling Hash,157.97,67.85,56.51,1.09,8
0.20,Quadratic Probing,Polynomial Rolling Hash,152.73,65.97,55.59,1.08,5
0.20,Chaining,MurmurHash3,78.08,124.55,123.64,0.43,4
0.20,Linear Probing,MurmurHash3,133.40,97.59,97.03,1.09,9
0.20,Quadratic Probing,MurmurHash3,129.71,97.73,98.13,1.09,6
0.30,Chaining,Polynomial Rolling Hash,74.07,107.50,81.08,0.50,4
0.30,Linear Probing,Polynomial Rolling Hash,140.79,57.35,57.86,1.14,10
0.30,Quadratic Probing,Polynomial Rolling Hash,133.03,55.56,56.43,1.13,6
0.30,Chaining,MurmurHash3,64.84,74.67,77.07,0.51,4
0.30,Linear Probing,MurmurHash3,115.40,53.44,65.82,1.15,9
0.30,Quadratic Probing,MurmurHash3,116.04,46.59,43.55,1.15,8
0.40,Chaining,Polynomial Rolling Hash,78.33,78.66,84.94,0.49,6
0.40,Linear Probing,Polynomial Rolling Hash,139.42,54.98,52.12,1.21,17
0.40,Quadratic Probing,Polynomial Rolling Hash,134.42,55.07,50.39,1.19,9
0.40,Chaining,MurmurHash3,64.57,76.23,80.66,0.50,5
0.40,Linear Probing,MurmurHash3,122.69,46.69,43.89,1.22,24
0.40,Quadratic Probing,MurmurHash3,123.90,48.96,45.26,1.21,10
0.50,Chaining,Polynomial Rolling Hash,75.37,87.08,86.60,0.63,6
0.50,Linear Probing,Polynomial Rolling Hash,123.17,67.43,56.93,1.45,18
0.50,Quadratic Probing,Polynomial Rolling Hash,123.58,65.19,52.41,1.38,10
0.50,Chaining,MurmurHash3,63.78,78.28,71.73,0.64,5
0.50,Linear Probing,MurmurHash3,118.25,56.57,47.17,1.40,28
0.50,Quadratic Probing,MurmurHash3,110.39,56.67,47.26,1.37,15
0.60,Chaining,Polynomial Rolling Hash,80.88,78.60,92.09,0.63,7
0.60,Linear Probing,Polynomial Rolling Hash,135.64,67.88,63.42,1.53,20
0.60,Quadratic Probing,Polynomial Rolling Hash,126.51,66.63,56.63,1.44,14
0.60,Chaining,MurmurHash3,65.17,57.66,68.38,0.64,6
0.60,Linear Probing,MurmurHash3,115.21,57.10,52.86,1.50,28
0.60,Quadratic Probing,MurmurHash3,117.40,54.98,47.55,1.44,16
0.70,Chaining,Polynomial Rolling Hash,87.42,79.42,82.80,0.63,7
0.70,Linear Probing,Polynomial Rolling Hash,140.68,66.94,65.21,1.67,47
0.70,Quadratic Probing,Polynomial Rolling Hash,136.69,66.97,60.75,1.53,19
0.70,Chaining,MurmurHash3,72.45,65.76,78.65,0.64,6
0.70,Linear Probing,MurmurHash3,130.22,58.39,56.38,1.68,48
0.70,Quadratic Probing,MurmurHash3,131.66,58.11,68.80,1.54,16
0.80,Chaining,Polynomial Rolling Hash,80.00,73.69,92.05,0.64,7
0.80,Linear Probing,Polynomial Rolling Hash,145.85,64.64,57.09,1.99,72
0.80,Quadratic Probing,Polynomial Rolling Hash,139.85,63.84,56.15,1.70,30
0.80,Chaining,MurmurHash3,74.97,87.36,82.15,0.65,6
0.80,Linear Probing,MurmurHash3,147.87,59.16,51.63,2.05,142
0.80,Quadratic Probing,MurmurHash3,134.31,56.72,49.28,1.71,32
0.90,Chaining,Polynomial Rolling Hash,86.98,78.06,74.62,0.81,7
0.90,Chaining,MurmurHash3,72.41,70.52,66.06,0.83,6
0.95,Chaining,Polynomial Rolling Hash,91.98,80.94,87.74,0.82,7
0.95,Chaining,MurmurHash3,75.02,66.62,62.12,0.84,6
